feature,CR1,CR2,CR3,CR4,CR5,CR6,CR7,CR8,CR9
Open,High:1.00,Low:1.00,Close:1.00,price_5d_sma:1.00,price_5d_ewma:1.00,price_10d_sma:0.99,price_10d_ewma:1.00,price_20d_sma:0.99,price_20d_ewma:0.99
High,Open:1.00,Low:1.00,Close:1.00,price_5d_sma:1.00,price_5d_ewma:1.00,price_10d_sma:0.99,price_10d_ewma:1.00,price_20d_sma:0.99,price_20d_ewma:0.99
Low,Open:1.00,High:1.00,Close:1.00,price_5d_sma:1.00,price_5d_ewma:1.00,price_10d_sma:0.99,price_10d_ewma:0.99,price_20d_sma:0.98,price_20d_ewma:0.99
Close,Open:1.00,High:1.00,Low:1.00,price_5d_sma:1.00,price_5d_ewma:1.00,price_10d_sma:0.99,price_10d_ewma:0.99,price_20d_sma:0.98,price_20d_ewma:0.99
Volume,vlm_5d_avg:0.96,vlm_10d_avg:0.95,vlm_20d_avg:0.93,,,,,,
c-o,return_b1d:0.98,,,,,,,,
h-l,,,,,,,,,
macd,macdsignal:0.95,,,,,,,,
macdsignal,macd:0.95,,,,,,,,
macdhist,,,,,,,,,
chaikin,obv:0.98,,,,,,,,
obv,chaikin:0.98,,,,,,,,
return_b1d,c-o:0.98,,,,,,,,
return_b5d,,,,,,,,,
return_b5d_std,return_b10d_std:0.91,,,,,,,,
return_b10d,,,,,,,,,
return_b10d_std,return_b5d_std:0.91,return_b20d_std:0.94,,,,,,,
return_b20d,,,,,,,,,
return_b20d_std,return_b10d_std:0.94,atr_10d:0.91,atr_20d:0.91,,,,,,
vlm_5d_avg,Volume:0.96,vlm_10d_avg:0.99,vlm_20d_avg:0.97,,,,,,
vlm_5d_std,,,,,,,,,
vlm_10d_avg,Volume:0.95,vlm_5d_avg:0.99,vlm_20d_avg:0.99,,,,,,
vlm_10d_std,,,,,,,,,
vlm_20d_avg,Volume:0.93,vlm_5d_avg:0.97,vlm_10d_avg:0.99,,,,,,
vlm_20d_std,,,,,,,,,
price_5d_sma,Open:1.00,High:1.00,Low:1.00,Close:1.00,price_5d_ewma:1.00,price_10d_sma:1.00,price_10d_ewma:1.00,price_20d_sma:0.99,price_20d_ewma:0.99
price_5d_std,,,,,,,,,
price_5d_ewma,Open:1.00,High:1.00,Low:1.00,Close:1.00,price_5d_sma:1.00,price_10d_sma:1.00,price_10d_ewma:1.00,price_20d_sma:0.99,price_20d_ewma:0.99
price_10d_sma,Open:0.99,High:0.99,Low:0.99,Close:0.99,price_5d_sma:1.00,price_5d_ewma:1.00,price_10d_ewma:1.00,price_20d_sma:1.00,price_20d_ewma:1.00
price_10d_std,,,,,,,,,
price_10d_ewma,Open:1.00,High:1.00,Low:0.99,Close:0.99,price_5d_sma:1.00,price_5d_ewma:1.00,price_10d_sma:1.00,price_20d_sma:1.00,price_20d_ewma:1.00
price_20d_sma,Open:0.99,High:0.99,Low:0.98,Close:0.98,price_5d_sma:0.99,price_5d_ewma:0.99,price_10d_sma:1.00,price_10d_ewma:1.00,price_20d_ewma:1.00
price_20d_std,,,,,,,,,
price_20d_ewma,Open:0.99,High:0.99,Low:0.99,Close:0.99,price_5d_sma:0.99,price_5d_ewma:0.99,price_10d_sma:1.00,price_10d_ewma:1.00,price_20d_sma:1.00
rsi_5d,rsi_10d:0.94,,,,,,,,
rsi_10d,rsi_5d:0.94,rsi_20d:0.94,,,,,,,
rsi_20d,rsi_10d:0.94,,,,,,,,
atr_5d,atr_10d:0.98,atr_20d:0.93,,,,,,,
atr_10d,return_b20d_std:0.91,atr_5d:0.98,atr_20d:0.98,,,,,,
atr_20d,return_b20d_std:0.91,atr_5d:0.93,atr_10d:0.98,,,,,,
